,edist
t_Bmem-CD27,124.59729054033545
t_CD4_Tcm-LMNA,44.14934595306687
t_CD4_Treg-FOXP3,51.568114460284335
t_CD8_MAIT-KLRB1,355.2115365661968
t_CD8_Tem-GZMK,44.23053093568632
t_CD8_Trm-ZNF683,70.99326432945776
t_Tn-LEF1,41.972074470821326
t_mono-FCN1,44.370696889412386
t_pB-IGHG1,25.24020971789713
