,names,scores,logfoldchanges,pvals,pvals_adj,celltype
134322,HP1BP3,3.955005,0.5914104,7.891314442976618e-05,0.0010458703834077738,t_Tn-LEF1
134323,BCL9L,3.9528408,1.6867605,8.030099263847455e-05,0.0010604609349451437,t_Tn-LEF1
134324,PHC3,3.9519918,0.92649543,8.003879419322127e-05,0.0010582589049769203,t_Tn-LEF1
134325,MZF1-AS1,3.9517684,24.683495,8.228972730183281e-05,0.0010834122985958613,t_Tn-LEF1
134326,GLB1,3.9511998,1.530557,8.063622402351628e-05,0.0010636210560817528,t_Tn-LEF1
134327,HMGB2,3.950432,0.6848268,8.046822936693727e-05,0.0010620369343768454,t_Tn-LEF1
134328,IFI27L2,3.949325,0.906872,8.095839579329586e-05,0.0010672357371728591,t_Tn-LEF1
134329,HIVEP3,3.9492521,1.9673849,8.160764273645085e-05,0.0010751552361231876,t_Tn-LEF1
134330,NAB1,3.9458742,1.3047044,8.233210314950734e-05,0.0010834122985958613,t_Tn-LEF1
134331,NXPH4,3.945711,24.885798,8.436963722417561e-05,0.0011069396249536365,t_Tn-LEF1
134332,ZBP1,3.9436975,1.3957467,8.31323064094782e-05,0.0010919980035647868,t_Tn-LEF1
134333,ELMO1,3.9416652,0.83271056,8.352932199718421e-05,0.0010965634438387009,t_Tn-LEF1
134334,PLXND1,3.9416635,4.0839233,8.520290491417772e-05,0.001114574637558739,t_Tn-LEF1
134335,RGS9,3.9388173,3.6626325,8.624077278359063e-05,0.001125495382537113,t_Tn-LEF1
134336,RNF166,3.9385378,0.6991287,8.452977054769286e-05,0.001107729670421982,t_Tn-LEF1
134337,MKNK2,3.9380817,0.8176037,8.474958154719268e-05,0.001109298979720132,t_Tn-LEF1
134338,ASXL2,3.935955,1.1001017,8.567917603061701e-05,0.0011194840130388161,t_Tn-LEF1
134339,PIN1,3.935953,0.80601734,8.547653698179831e-05,0.0011174948434536638,t_Tn-LEF1
134340,RNF187,3.9344134,0.85043645,8.606388999286726e-05,0.0011238484292178125,t_Tn-LEF1
134341,DBP,3.9341817,1.5298347,8.651321352517998e-05,0.0011283867549963622,t_Tn-LEF1
134342,TRANK1,3.9282086,0.95921695,8.83553267852888e-05,0.0011510591426616972,t_Tn-LEF1
134343,PATJ,3.9279227,1.5045124,8.883354468256872e-05,0.001156609621988606,t_Tn-LEF1
134344,WIPI1,3.9224918,4.816313,9.259085917340135e-05,0.0012020006560022412,t_Tn-LEF1
134345,TSPAN2,3.921914,2.1280077,9.15847164133973e-05,0.0011896355694401043,t_Tn-LEF1
134346,TTC19,3.9212804,1.0017642,9.091008450362087e-05,0.0011822576561283198,t_Tn-LEF1
134347,SUSD3,3.91989,0.84502727,9.137277329897568e-05,0.0011875782546062062,t_Tn-LEF1
134348,ATP1B1,3.9176967,2.4171605,9.331821045899146e-05,0.0012100261289515893,t_Tn-LEF1
134349,CLIC3,3.9162934,1.3984045,9.312368603050013e-05,0.0012082103512898064,t_Tn-LEF1
134350,C1orf52,3.9138029,0.77678776,9.366924569066656e-05,0.0012138680214489475,t_Tn-LEF1
134351,BAZ2B,3.9126077,1.59033,9.458199135280805e-05,0.0012242653206455416,t_Tn-LEF1
134352,KIF20B,3.9109645,1.7143162,9.52876213957556e-05,0.0012326793635986516,t_Tn-LEF1
