"","from","to","source","database"
"4334","EWSR1","SGO2","inweb_inbio_interaction","inweb_inbiomap"
"4335","ALG8","CCDC107","pathwaycommons_interacts_with","pathwaycommons_signaling"
"4336","UBC","STK35","inweb_inbio_interaction","inweb_inbiomap"
"4337","DUSP6","PIN1","pathwaycommons_interacts_with","pathwaycommons_signaling"
"4338","MRPS7","MRRF","pathwaycommons_in_complex_with","pathwaycommons_signaling"
"4339","SOX2","BAG2","pathwaycommons_interacts_with","pathwaycommons_signaling"
"4340","NXF1","SF3B3","cpdb_complex","cpdb"
"4341","NSUN2","CKAP5","cpdb_complex","cpdb"
"4342","DSN1","BUB3","cpdb_complex","cpdb"
"4343","MYBL2","EP300","vinayagam_ppi","vinayagam"
"4344","SDC4","MAPK3","pathwaycommons_controls_phosphorylation_of","pathwaycommons_signaling"
"4345","PHLDB2","PIK3R5","pathwaycommons_in_complex_with","pathwaycommons_signaling"
"4346","RDH10","DPYSL2","pathwaycommons_controls_state_change_of","pathwaycommons_signaling"
