"","from","to","source","database"
"4058","CUL2","RNMT","pathwaycommons_interacts_with","pathwaycommons_signaling"
"4059","IL6","DUSP9","evex_regulation_other","evex_signaling"
"4060","MRM1","HIST1H2BL","inweb_inbio_interaction","inweb_inbiomap"
"4061","CFD","GJC2","pathwaycommons_interacts_with","pathwaycommons_signaling"
"4062","RPF2","PRR11","pathwaycommons_interacts_with","pathwaycommons_signaling"
"4063","SMAD2","SRBD1","cpdb_complex","cpdb"
"4064","DDX56","MRPS25","inweb_inbio_interaction","inweb_inbiomap"
"4065","COPE","BTF3","cpdb_complex","cpdb"
"4066","POLR2D","HIST1H4C","pathwaycommons_in_complex_with","pathwaycommons_signaling"
"4067","NEK6","PBX4","pathwaycommons_interacts_with","pathwaycommons_signaling"
"4068","PRKCE","MAPK3","pathwaycommons_interacts_with","pathwaycommons_signaling"
"4069","MED4","CELF1","cpdb_complex","cpdb"
"4070","PDK2","PCK2","evex_binding","evex_signaling"
"4071","TERF1","CCDC9","inweb_inbio_interaction","inweb_inbiomap"
"4072","SYMPK","SNW1","pathwaycommons_in_complex_with","pathwaycommons_signaling"
"4073","GNG2","PLCB3","pathwaycommons_controls_state_change_of","pathwaycommons_signaling"
"4074","RPGRIP1L","TFRC","pathwaycommons_interacts_with","pathwaycommons_signaling"
"4075","SMAD7","LEF1","cpdb_complex","cpdb"
"4076","DTNB","NEBL","cpdb_complex","cpdb"
"4077","WBP2","YWHAH","inweb_inbio_interaction","inweb_inbiomap"
"4078","XPO1","TTF2","pathwaycommons_interacts_with","pathwaycommons_signaling"
"4079","SMAD3","COL5A2","inweb_inbio_interaction","inweb_inbiomap"
"4080","ZNF7","ZNF182","inweb_inbio_interaction","inweb_inbiomap"
"4081","EGLN3","ZFYVE16","pathwaycommons_interacts_with","pathwaycommons_signaling"
"4082","GPAT4","ITM2B","cpdb_complex","cpdb"
"4083","UBTF","SET","inweb_inbio_interaction","inweb_inbiomap"
"4084","TRAPPC9","SEC24B","inweb_inbio_pathway","inweb_inbiomap"
"4085","TP53","HSPA8","inweb_inbio_interaction","inweb_inbiomap"
"4086","SEM1","CUL4B","inweb_inbio_interaction","inweb_inbiomap"
"4087","KITLG","IFI27","evex_binding","evex_signaling"
"4088","GNB1","SRRT","pathwaycommons_interacts_with","pathwaycommons_signaling"
"4089","TLN1","EME1","cpdb_complex","cpdb"
"4090","HES1","ASGR2","pathwaycommons_interacts_with","pathwaycommons_signaling"
"4091","HMOX1","BLVRB","pathwaycommons_catalysis_precedes","pathwaycommons_signaling"
"4092","CRK","IGLC7","pathwaycommons_in_complex_with","pathwaycommons_signaling"
"4093","VDAC2","PRPS1","inweb_inbio_interaction","inweb_inbiomap"
"4094","PRPF31","HNRNPH2","pathwaycommons_interacts_with","pathwaycommons_signaling"
"4095","CDC40","WTAP","pathwaycommons_in_complex_with","pathwaycommons_signaling"
"4096","PRKCB","LSP1","pathwaycommons_interacts_with","pathwaycommons_signaling"
"4097","ZCCHC17","ZMYND8","pathwaycommons_interacts_with","pathwaycommons_signaling"
"4098","CTCF","RPF2","cpdb_complex","cpdb"
"4099","YWHAZ","PFKFB2","omnipath_undirectional","omnipath"
"4100","SUPT16H","CENPC","pathwaycommons_in_complex_with","pathwaycommons_signaling"
"4101","CHRNB3","VDAC1","pathwaycommons_catalysis_precedes","pathwaycommons_signaling"
"4102","SPTA1","SMARCA4","pathwaycommons_interacts_with","pathwaycommons_signaling"
"4103","PSMC3","TGFBR1","pathwaycommons_controls_state_change_of","pathwaycommons_signaling"
"4104","ELP1","HIST1H3J","pathwaycommons_controls_state_change_of","pathwaycommons_signaling"
"4105","CHEK2","SRPK2","pathwaycommons_interacts_with","pathwaycommons_signaling"
"4106","NFE2L2","HMOX1","pathwaycommons_in_complex_with","pathwaycommons_signaling"
"4107","SRC","FAM131B","pathwaycommons_controls_phosphorylation_of","pathwaycommons_signaling"
"4108","GPNMB","ITGB1","evex_binding","evex_signaling"
"4109","KIAA2013","RBM45","pathwaycommons_interacts_with","pathwaycommons_signaling"
"4110","CPSF3","DDX23","inweb_inbio_pathway","inweb_inbiomap"
"4111","TUBB4B","MAIP1","pathwaycommons_interacts_with","pathwaycommons_signaling"
"4112","SNRPA1","SF1","pathwaycommons_in_complex_with","pathwaycommons_signaling"
"4113","UCP1","TXNIP","pathwaycommons_controls_state_change_of","pathwaycommons_signaling"
"4114","RPS5","SNU13","pathwaycommons_interacts_with","pathwaycommons_signaling"
"4115","USP17L25","USP17L2","pathwaycommons_interacts_with","pathwaycommons_signaling"
"4116","ISOC1","CALCOCO1","inweb_inbio_interaction","inweb_inbiomap"
"4117","TFCP2","OGT","inweb_inbio_interaction","inweb_inbiomap"
"4118","IQCB1","BBS5","inweb_inbio_interaction","inweb_inbiomap"
"4119","IRF1","YBX1","pathwaycommons_interacts_with","pathwaycommons_signaling"
