"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSG00000137959",7.46232690937326,1.86095569232714,0.464585747622279,4.00562372361053,6.18540470318582e-05,0.854678801940942,"IFI44L"
"ENSG00000253281",4.44991604364551,-16.0566527168048,4.17525810067488,-3.84566710120493,0.000120224898289625,0.854678801940942,"ENSG00000253281"
"ENSG00000000938",41.0340938957658,-1.57451671668666,0.829624297987863,-1.89786716771125,0.0577135823635538,0.866105393931186,"FGR"
"ENSG00000000971",71.663273596237,0.602476043741635,0.425096163198194,1.41727001064637,0.15640399961646,0.866105393931186,"CFH"
"ENSG00000001036",15.1944404430728,0.611620527384395,0.316076647033305,1.93503864687589,0.0529855533713193,0.866105393931186,"FUCA2"
"ENSG00000001084",51.6504697581107,0.493450418314147,0.345606319250433,1.42778181656043,0.153354668163556,0.866105393931186,"GCLC"
"ENSG00000001460",5.12087486180932,0.539546977946749,0.484352843297613,1.11395439381208,0.265298752380302,0.866105393931186,"STPG1"
"ENSG00000001461",28.4054413827583,0.394114324546544,0.241414938854558,1.63251837859123,0.102570330033578,0.866105393931186,"NIPAL3"
"ENSG00000001497",10.950410956289,0.424615169382984,0.388242694239176,1.09368489268056,0.274093202310307,0.866105393931186,"LAS1L"
"ENSG00000001561",30.4313202128941,0.640837042288471,0.497889669563573,1.28710652472504,0.198057161575565,0.866105393931186,"ENPP4"
"ENSG00000001626",4.97146537286192,-0.819656193904647,0.570333091088463,-1.43715349277798,0.150674384379837,0.866105393931186,"CFTR"
"ENSG00000002016",3.02653206705148,1.26467070848112,0.710012112202347,1.78119596376787,0.0748804428176679,0.866105393931186,"RAD52"
"ENSG00000002549",31.2405491588283,0.308396317304632,0.1896963729382,1.62573649948016,0.104005721957251,0.866105393931186,"LAP3"
"ENSG00000003147",9.74836277297651,0.817770253082892,0.426091424813225,1.91923658975619,0.0549543988348586,0.866105393931186,"ICA1"
"ENSG00000003400",8.78113588899998,-0.525095860865705,0.342725898454463,-1.53211608236683,0.125493791794384,0.866105393931186,"CASP10"
"ENSG00000004455",40.0529507187843,0.390135326757777,0.246030972874316,1.58571631124296,0.112803677346662,0.866105393931186,"AK2"
"ENSG00000004534",41.8582718836455,0.306659721561005,0.249898950605002,1.22713489119736,0.219771895786088,0.866105393931186,"RBM6"
"ENSG00000004660",6.45193160797155,-0.735047471976449,0.39303640009202,-1.87017658365575,0.0614593003312993,0.866105393931186,"CAMKK1"
"ENSG00000004766",7.6462863961714,0.849167892344532,0.412301717845305,2.05957883654305,0.0394388211569778,0.866105393931186,"CCDC132"
"ENSG00000004777",2.34809070046083,1.2059990850263,1.07215636135531,1.12483507862771,0.260658926731256,0.866105393931186,"ARHGAP33"
"ENSG00000004838",10.7329143207579,1.50382957171505,1.11473112062245,1.34905139355519,0.177320459062407,0.866105393931186,"ZMYND10"
"ENSG00000004866",82.5572148405479,-0.822983031366174,0.711490984594532,-1.15670198103097,0.247394140048967,0.866105393931186,"ST7"
"ENSG00000004961",9.51235281775072,0.778944575172367,0.368692223040298,2.11272309664972,0.0346244752334478,0.866105393931186,"HCCS"
"ENSG00000005206",19.8045542075466,0.431508440895108,0.267885675606102,1.6107932606654,0.107224790488935,0.866105393931186,"SPPL2B"
"ENSG00000005249",33.7259955741604,0.889003610291629,0.569995702674362,1.55966721524481,0.11883854349793,0.866105393931186,"PRKAR2B"
"ENSG00000005339",33.17923766274,-0.423338717004393,0.30248692709198,-1.39952731535953,0.161654913054338,0.866105393931186,"CREBBP"
"ENSG00000005436",3.30847038232385,0.749533262503066,0.477944125018207,1.56824453585346,0.116824074429952,0.866105393931186,"GCFC2"
"ENSG00000005448",3.99752739991607,1.57653439300254,0.630054875794835,2.50221759019591,0.0123418046402517,0.866105393931186,"WDR54"
"ENSG00000005469",23.9415496765187,0.496866276707094,0.401227442765646,1.23836563441975,0.215580517100943,0.866105393931186,"CROT"
"ENSG00000005700",50.9025973886577,0.566810224298145,0.414427693027917,1.367693891682,0.171407912743876,0.866105393931186,"IBTK"
"ENSG00000005810",22.7438899999923,-0.467104583087447,0.383611007025292,-1.21765166935538,0.223356370531516,0.866105393931186,"MYCBP2"
"ENSG00000005812",19.9846406256416,-0.453679355348534,0.26567644626609,-1.70763860223479,0.0877034210364917,0.866105393931186,"FBXL3"
"ENSG00000005844",10.4308037077983,-0.973947888475094,0.720437378931808,-1.35188417058422,0.176412372143743,0.866105393931186,"ITGAL"
"ENSG00000006007",45.6377108541222,0.585810306154237,0.258135152814133,2.26939376434345,0.0232443910553015,0.866105393931186,"GDE1"
"ENSG00000006015",5.72960436885722,0.794286563391682,0.434815115583351,1.82672251935414,0.0677415005848352,0.866105393931186,"C19orf60"
"ENSG00000006025",23.0920712820061,0.495513609235147,0.381825759970825,1.29774798136461,0.194373949990536,0.866105393931186,"OSBPL7"
"ENSG00000006042",11.3566024640651,0.602487408689901,0.404084886331816,1.49099218770377,0.135963546001355,0.866105393931186,"TMEM98"
"ENSG00000006118",15.5093998950596,-0.878301706492737,0.367362276786336,-2.39083259766373,0.0168102156062164,0.866105393931186,"TMEM132A"
"ENSG00000006125",24.4237838404094,0.488418417864474,0.425300255229344,1.1484084757981,0.250799976344809,0.866105393931186,"AP2B1"
"ENSG00000006282",19.8168387690524,0.40129100294737,0.333633260045153,1.2027907616077,0.229057300715381,0.866105393931186,"SPATA20"
"ENSG00000006530",9.44057535766878,0.524264940707053,0.401300177217445,1.30641592122442,0.191411154438455,0.866105393931186,"AGK"
"ENSG00000006534",43.1977451436355,1.1909184146577,0.425904318480853,2.79621117462615,0.00517056032992569,0.866105393931186,"ALDH3B1"
"ENSG00000006607",15.5171453864353,0.373564446631278,0.274662639365213,1.36008467512961,0.173803130027733,0.866105393931186,"FARP2"
"ENSG00000006652",47.3130381255823,-0.532383191390005,0.402408231298456,-1.32299279682266,0.185837773281355,0.866105393931186,"IFRD1"
"ENSG00000006712",23.8465685219282,-0.478015107197796,0.263166623950616,-1.81639715561916,0.0693094712145451,0.866105393931186,"PAF1"
"ENSG00000006740",2.40003982774569,0.872111151912179,0.700740772529949,1.24455602713613,0.213294992591277,0.866105393931186,"ARHGAP44"
"ENSG00000006744",17.5663569560647,0.373929030092429,0.271080659810299,1.37940135734546,0.167771040997943,0.866105393931186,"ELAC2"
"ENSG00000006747",16.9432134720763,1.10692529547282,0.47872368435825,2.31224259764107,0.020764318030688,0.866105393931186,"SCIN"
"ENSG00000006756",31.4021919040561,0.425034328101909,0.344808424049707,1.23266805117452,0.21769963627402,0.866105393931186,"ARSD"
"ENSG00000006757",7.92821231608158,1.00120080262776,0.423175929042829,2.36592096552455,0.0179852834003972,0.866105393931186,"PNPLA4"
